What do you think it means to wear sustainable clothing?(Choose all that apply),Do you think that sustainable fashion can help to lessen the carbon footprint in fashion industry and help to reduce environmental and ethical impact on earth?,How do you get rid of old clothes?,Where do you normally shop your clothes(Choose all that apply),Would you switch to sustainable fashion from buying in fast fashion brands if you know that it can help the environment even it cost more than the price range of fast fashion brands?,Rate your purchasing practices in clothing in terms of how sustainable it is
I don't have any idea,Neutral,Make a charitable donation,H&M;Bench;Penshoppe,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Agree,Give to family members,H&M;Penshoppe;Thrift Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Labor practices that are fair,Agree,Make a charitable donation,Thrift Store;Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled;Chemical usage reduction,Strongly Agree,Give to family members,Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Agree,Give to family members,Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
I don't have any idea,Neutral,Give to family members,Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Fabric that has been recycled,Strongly Agree,Give to family members,Penshoppe;Thrift Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Fabric that has been recycled,Agree,Make a charitable donation,H&M;Bench;Shein;Penshoppe,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Strongly Agree,Give to family members,Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Excessively expensive;Fabric that has been recycled;Chemical usage reduction;Labor practices that are fair,Agree,Sell it online,Local Store,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable,Agree,Give to family members,Thrift Store;Local Store,Neutral,Rate your purchasing practices in clothing in terms of how sustainable it is
Durable;Excessively expensive,Agree,Make a charitable donation,Shein,Agree,Rate your purchasing practices in clothing in terms of how sustainable it is
